time_elapsed,population_size,population_fitness
0.0,148.0,0.857591634801789
1.0,128.0,0.9399104659096473
2.0,252.0,0.9475216907427048
3.0,252.0,0.9475216907427048
4.0,245.0,0.9510414978654773
5.0,237.0,0.9394993748237264
6.0,227.0,0.9455948244131521
7.0,436.0,0.9469241082958786
8.0,429.0,0.9456373374284912
9.0,422.0,0.9497933972344155
10.0,390.0,0.9565792533966334
11.0,369.0,0.9531529294064397
12.0,295.0,0.9548757899405351
13.0,518.0,0.9510141951279504
14.0,498.0,0.9531554657861204
15.0,489.0,0.9457976017918738
16.0,484.0,0.9485082786361426
17.0,373.0,0.9417390125655527
18.0,317.0,0.9408517595148677
19.0,578.0,0.9520689476794295
20.0,563.0,0.9543764913534769
21.0,555.0,0.9531662706561526
22.0,551.0,0.9516636523279141
23.0,420.0,0.9528288191416336
24.0,354.0,0.9466456787650818
25.0,322.0,0.9589740584517427
26.0,612.0,0.9465625420036298
27.0,604.0,0.9481305236690245
28.0,599.0,0.9490081150391595
29.0,453.0,0.9472789061018989
30.0,380.0,0.9535449189969893
31.0,686.0,0.9529222158498181
32.0,667.0,0.9538934314046373
33.0,658.0,0.9522787119615235
34.0,653.0,0.9528847432942223
35.0,651.0,0.9523582005933151
36.0,497.0,0.9529262365740951
37.0,840.0,0.9509583793043581
38.0,802.0,0.9515591275668328
39.0,782.0,0.9526660101099781
40.0,772.0,0.9510142153406571
41.0,596.0,0.9485186457873404
42.0,508.0,0.9415506782354987
43.0,464.0,0.942020925457651
44.0,884.0,0.9472194847617207
45.0,873.0,0.9480856053823091
46.0,867.0,0.9485336224303774
47.0,654.0,0.9506657053366527
48.0,548.0,0.9493785381877781
49.0,495.0,0.9490282838358722
50.0,938.0,0.9488872840404723
51.0,925.0,0.9496153835266391
52.0,919.0,0.9484329329550011
53.0,915.0,0.9484448713660759
54.0,692.0,0.9521911342690358
55.0,581.0,0.9498039408311449
56.0,1052.0,0.9503589089457054
57.0,1024.0,0.9508871407490497
58.0,1011.0,0.948146438793549
59.0,1004.0,0.9484454687533055
60.0,766.0,0.9485745996434246
61.0,647.0,0.9498575967393094
62.0,587.0,0.9499977271259642
63.0,557.0,0.9492847614114253
64.0,1084.0,0.9508598088911338
65.0,1077.0,0.9496935658587092
66.0,811.0,0.9509302461497436
67.0,678.0,0.9495684576679749
68.0,611.0,0.9486540283859822
69.0,578.0,0.9484343101067222
70.0,561.0,0.9479993528290881
71.0,553.0,0.9479263842605901
72.0,548.0,0.9497908151365848
73.0,546.0,0.9507763348522202
74.0,274.0,0.9480034234537882
75.0,276.0,0.9465974256835678
76.0,208.0,0.9435588674457088
77.0,173.0,0.9160819375713467
78.0,156.0,0.9255075098639255
79.0,147.0,0.9264426869947913
80.0,143.0,0.9348454587697984
81.0,140.0,0.9427810146968877
82.0,139.0,0.9454403149121646
83.0,276.0,0.9465974256835678
84.0,276.0,0.9465974256835678
